wallMs,obsHostFrame,obsHostTimeMs,guestFrame,filteredOffsetMs,expectedHostFrame,driftMs
1775744159004,978000,1775744157885,960962,-804.875,993078.0,-329.084
1775744159103,978000,1775744157885,965765,-804.875,997830.0,-328.021
1775744159204,1002240,1775744158385,970659,-804.875,1002918.0,-332.063
1775744159304,1002240,1775744158385,975555,-804.875,1007718.0,-330.063
1775744159403,1002240,1775744158385,980357,-804.875,1012470.0,-329.021
1775744159504,1002240,1775744158385,985249,-804.875,1017318.0,-328.104
1775744159617,1002240,1775744158385,990144,-804.787,1022746.2,-339.213
1775744159704,1002240,1775744158385,995040,-804.787,1026922.2,-324.213
1775744159804,1026480,1775744158885,999844,-804.787,1031962.2,-329.129
1775744159904,1026480,1775744158885,1004645,-804.787,1036762.2,-329.108
1775744160003,1026480,1775744158885,1009541,-804.787,1041514.2,-326.108
1775744160104,1026480,1775744158885,1014341,-804.787,1046362.2,-327.108
1775744160204,1026480,1775744158885,1019234,-804.787,1051162.2,-325.171
1775744160307,1050672,1775744159385,1024036,-804.787,1056298.2,-332.129
1775744160404,1050672,1775744159385,1028932,-804.787,1060954.2,-327.129
1775744160503,1050672,1775744159385,1033733,-804.787,1065706.2,-326.108
1775744160603,1050672,1775744159385,1038629,-804.709,1070510.0,-324.187
1775744160703,1050672,1775744159385,1043429,-804.709,1075310.0,-324.187
1775744160804,1072608,1775744159884,1048323,-804.709,1078142.0,-281.229
1775744160904,1072608,1775744159884,1053217,-804.709,1082942.0,-279.271
1775744161004,1072608,1775744159884,1058020,-804.709,1087742.0,-279.208
1775744161103,1072608,1775744159884,1062914,-804.709,1092494.0,-276.250
1775744161209,1072608,1775744159884,1067715,-804.709,1097582.0,-282.229
1775744161326,1096896,1775744160385,1072609,-804.709,1103438.0,-302.271
1775744161403,1096896,1775744160385,1072609,-804.709,1107134.0,-379.271
1775744161503,1096896,1775744160385,1077412,-804.709,1111934.0,-379.208
1775744161624,1096896,1775744160385,1087107,-804.638,1117745.4,-298.300
1775744161704,1121184,1775744160885,1087107,-804.638,1121873.4,-384.300
1775744161804,1121184,1775744160885,1091908,-804.638,1126673.4,-384.279
1775744161904,1121184,1775744160885,1096803,-804.638,1131473.4,-382.300
1775744162010,1121184,1775744160885,1101697,-804.638,1136561.4,-386.341
1775744162104,1121184,1775744160885,1106498,-804.638,1141073.4,-380.321
1775744162203,1121184,1775744160885,1111393,-804.638,1145825.4,-377.341
1775744162304,1145424,1775744161385,1116194,-804.638,1150913.4,-383.321
1775744162404,1145424,1775744161385,1121090,-804.638,1155713.4,-381.321
1775744162503,1145424,1775744161385,1125984,-804.638,1160465.4,-378.362
1775744162627,1145424,1775744161385,1135685,-804.574,1166420.4,-300.322
1775744162704,1169616,1775744161885,1135685,-804.574,1170308.4,-381.322
1775744162804,1169616,1775744161885,1140483,-804.574,1175108.4,-381.364
1775744162904,1169616,1775744161885,1145284,-804.574,1179908.4,-381.343
1775744163004,1169616,1775744161885,1150176,-804.574,1184708.4,-379.426
1775744163103,1169616,1775744161885,1154980,-804.574,1189460.4,-378.343
1775744163203,1169616,1775744161885,1159781,-804.574,1194260.4,-378.322
1775744163304,1193760,1775744162385,1164673,-804.574,1199252.4,-380.405
1775744163404,1193760,1775744162385,1169473,-804.574,1204052.4,-380.405
1775744163504,1193760,1775744162385,1174368,-804.574,1208852.4,-378.426
1775744163616,1193760,1775744162385,1179168,-804.617,1214226.4,-390.384
1775744163704,1193760,1775744162385,1183971,-804.617,1218450.4,-378.321
1775744163804,1218048,1775744162883,1188865,-804.617,1223634.4,-384.363
1775744163904,1218048,1775744162883,1193667,-804.617,1228434.4,-384.321
1775744164004,1218048,1775744162883,1198467,-804.617,1233234.4,-384.321
1775744164104,1218048,1775744162883,1203267,-804.617,1238034.4,-384.321
1775744164204,1218048,1775744162883,1208163,-804.617,1242834.4,-382.321
1775744164321,1242192,1775744163385,1213057,-804.617,1248498.4,-398.363
1775744164404,1242192,1775744163385,1217859,-804.617,1252482.4,-381.321
1775744164504,1242192,1775744163385,1222752,-804.617,1257282.4,-379.384
1775744164626,1242192,1775744163385,1227554,-804.655,1263136.6,-401.304
1775744164704,1266480,1775744163885,1232357,-804.655,1267168.6,-385.241
1775744164804,1266480,1775744163885,1237156,-804.655,1271968.6,-385.262
1775744164904,1266480,1775744163885,1242050,-804.655,1276768.6,-383.304
1775744165004,1266480,1775744163885,1246853,-804.655,1281568.6,-383.241
1775744165104,1266480,1775744163885,1251747,-804.655,1286368.6,-381.283
1775744165204,1266480,1775744163885,1256641,-804.655,1291168.6,-379.324
1775744165316,1290672,1775744164385,1261442,-804.655,1296736.6,-395.304
1775744165404,1290672,1775744164385,1266242,-804.655,1300960.6,-383.304
1775744165504,1290672,1775744164385,1271045,-804.655,1305760.6,-383.241
1775744165620,1290672,1775744164385,1275940,-804.689,1311326.9,-397.227
1775744165703,1314912,1775744164885,1280833,-804.689,1315550.9,-383.290
1775744165803,1314912,1775744164885,1285728,-804.689,1320350.9,-381.311
1775744165904,1314912,1775744164885,1290531,-804.689,1325198.9,-382.248
1775744166004,1314912,1775744164885,1295425,-804.689,1329998.9,-380.290
1775744166103,1314912,1775744164885,1300225,-804.689,1334750.9,-379.290
1775744166203,1314912,1775744164885,1305122,-804.689,1339550.9,-377.269
1775744166339,1336656,1775744165385,1310018,-804.689,1343822.9,-364.269
1775744166404,1336656,1775744165385,1314821,-804.689,1346942.9,-329.206
1775744166504,1336656,1775744165385,1319712,-804.689,1351742.9,-327.311
1775744166608,1336656,1775744165385,1324515,-804.720,1356733.4,-331.217
1775744166703,1360896,1775744165885,1329408,-804.720,1361533.4,-329.280
1775744166804,1360896,1775744165885,1334212,-804.720,1366381.4,-330.196
1775744166904,1360896,1775744165885,1339104,-804.720,1371181.4,-328.280
1775744167004,1360896,1775744165885,1343909,-804.720,1375981.4,-328.175
1775744167103,1360896,1775744165885,1348804,-804.720,1380733.4,-325.196
1775744167214,1360896,1775744165885,1353696,-804.720,1386061.4,-334.280
1775744167304,1360896,1775744165885,1358498,-804.720,1390381.4,-324.238
1775744167404,1385040,1775744166385,1363393,-804.720,1395325.4,-325.259
1775744167503,1385040,1775744166385,1368197,-804.720,1400077.4,-324.175
1775744167611,1385040,1775744166385,1373091,-804.748,1405260.1,-330.189
1775744167735,1409280,1775744166884,1377892,-804.748,1411500.1,-360.168
1775744167804,1409280,1775744166884,1382784,-804.748,1414812.1,-327.252
1775744167903,1409280,1775744166884,1387588,-804.748,1419564.1,-326.168
1775744168003,1409280,1775744166884,1392482,-804.748,1424364.1,-324.210
1775744168104,1409280,1775744166884,1397285,-804.748,1429212.1,-325.148
1775744168204,1409280,1775744166884,1402178,-804.748,1434012.1,-323.210
1775744168304,1433472,1775744167385,1406980,-804.748,1438956.1,-326.168
1775744168403,1433472,1775744167385,1411874,-804.748,1443708.1,-323.210
1775744168504,1433472,1775744167385,1416768,-804.748,1448556.1,-322.252
1775744168615,1433472,1775744167385,1421573,-804.674,1453887.7,-333.222
1775744168703,1457760,1775744167885,1426465,-804.674,1458399.7,-325.306
1775744168803,1457760,1775744167885,1431268,-804.674,1463199.7,-325.243
1775744168904,1457760,1775744167885,1436161,-804.674,1468047.7,-324.306
1775744169003,1457760,1775744167885,1440965,-804.674,1472799.7,-323.222
1775744169104,1457760,1775744167885,1445861,-804.674,1477647.7,-322.222
1775744169204,1457760,1775744167885,1450849,-804.674,1482447.7,-318.306
1775744169314,1482000,1775744168385,1455555,-804.674,1487967.7,-335.264
1775744169403,1482000,1775744168385,1460450,-804.674,1492239.7,-322.285
1775744169504,1482000,1775744168385,1465252,-804.674,1497087.7,-323.243
1775744169618,1482000,1775744168385,1470240,-804.606,1502562.9,-333.394
1775744169704,1482000,1775744168385,1475042,-804.606,1506690.9,-319.352
1775744169804,1506288,1775744168885,1479841,-804.606,1511778.9,-325.373
1775744169904,1506288,1775744168885,1484736,-804.606,1516578.9,-323.394
1775744170004,1506288,1775744168885,1489538,-804.606,1521378.9,-323.352
1775744170104,1506288,1775744168885,1494432,-804.606,1526178.9,-321.394
1775744170204,1506288,1775744168885,1499236,-804.606,1530978.9,-321.310
1775744170323,1530576,1775744169385,1504036,-804.606,1536978.9,-346.310
1775744170404,1530576,1775744169385,1508837,-804.606,1540866.9,-327.290
1775744170503,1530576,1775744169385,1513728,-804.606,1545618.9,-324.394
1775744170603,1530576,1775744169385,1518720,-804.546,1550421.8,-320.454
