seq,hostTimeMs,rxWallMs,anchorFramePos,anchorTimeNs,framePos,timeNs,playing
219,1775781768127,1775781768504,4944,1008089441431845,5273952,1008199212414251,1
220,1775781768632,1775781769066,4944,1008089441431845,5298144,1008199716947272,1
221,1775781769137,1775781769506,4944,1008089441431845,5322432,1008200222693886,1
222,1775781769643,1775781770090,4944,1008089441431845,5346720,1008200728828001,1
223,1775781770150,1775781770513,4944,1008089441431845,5371056,1008201235305240,1
224,1775781770656,1775781771115,4944,1008089441431845,5395344,1008201741877896,1
225,1775781771111,1775781771507,4944,1008089441431845,5417184,1008202196746646,1
226,1775781771616,1775781772143,4944,1008089441431845,5441424,1008202701486489,1
227,1775781772122,1775781772505,4944,1008089441431845,5465664,1008203206982635,1
228,1775781772625,1775781773062,4944,1008089441431845,5489856,1008203710370499,1
229,1775781773130,1775781773510,4944,1008089441431845,5514096,1008204215767218,1
230,1775781773636,1775781774087,4944,1008089441431845,5538336,1008204721097791,1
231,1775781774141,1775781774582,4944,1008089441431845,5562576,1008205226074353,1
232,1775781774746,1775781775108,4944,1008089441431845,5591664,1008205831517582,1
233,1775781775150,1775781775517,4944,1008089441431845,5611056,1008206235858832,1
234,1775781775656,1775781776133,4944,1008089441431845,5635344,1008206741870498,1
235,1775781776111,1775781776506,4944,1008089441431845,5657184,1008207196864456,1
236,1775781776616,1775781777056,4944,1008089441431845,5681424,1008207701604300,1
237,1775781777121,1775781777506,4944,1008089441431845,5705664,1008208206251748,1
238,1775781777625,1775781778088,4944,1008089441431845,5729856,1008208710575914,1
239,1775781778130,1775781778505,4944,1008089441431845,5754096,1008209215638154,1
240,1775781778634,1775781779102,4944,1008089441431845,5778288,1008209719767476,1
241,1775781779138,1775781779511,4944,1008089441431845,5802480,1008210223675914,1
242,1775781779645,1775781780127,4944,1008089441431845,5826768,1008210729896278,1
243,1775781780150,1775781780504,4944,1008089441431845,5851056,1008211235604455,1
244,1775781780655,1775781781048,4944,1008089441431845,5875248,1008211740014142,1
