wall_ms,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,event
1777347495328,192.168.35.90:57842,-1.49,-44.89,1777347493251,-1830.3,2425056,2434653,0,drift
1777347495828,192.168.35.90:57842,-2.41,-37.76,1777347493759,-1830.2,2447040,2456669,0,drift
1777347496426,192.168.35.90:57842,-2.56,-31.47,1777347494265,-1830.2,2469120,2483037,0,drift
1777347496928,192.168.35.90:57842,-2.22,-28.16,1777347494771,-1830.2,2491200,2505053,0,drift
1777347497428,192.168.35.90:57842,2.65,-18.21,1777347495276,-1830.2,2513184,2527069,0,drift
1777347498026,192.168.35.90:57842,-2.34,-11.29,1777347495780,-1830.2,2535168,2553693,0,drift
1777347498527,192.168.35.90:57842,0.28,-9.90,1777347496285,-1830.2,2557344,2575709,0,drift
1777347499028,192.168.35.90:57842,-3.81,-6.24,1777347496790,-1830.2,2579232,2597725,0,drift
1777347499626,192.168.35.90:57842,-0.81,-1.40,1777347497294,-1830.2,2601408,2624093,0,drift
1777347500127,192.168.35.90:57842,-1.49,5.59,1777347497799,-1830.2,2623488,2646365,0,drift
1777347500629,192.168.35.90:57842,-3.09,-41.48,1777347498254,-1830.2,2645472,2668381,0,drift
1777347501226,192.168.35.90:57842,-0.85,-32.21,1777347499262,-1830.1,2689632,2694749,0,drift
1777347501728,192.168.35.90:57842,-4.13,-31.41,1777347499769,-1830.1,2711712,2716765,0,drift
1777347502324,192.168.35.90:57842,-0.74,-20.45,1777347500274,-1830.1,2733696,2743133,0,drift
1777347502826,192.168.35.90:57842,-1.84,-12.48,1777347500780,-1830.1,2755776,2765405,0,drift
1777347503327,192.168.35.90:57842,-1.03,-10.96,1777347501284,-1830.1,2777856,2787421,0,drift
1777347503829,192.168.35.90:57842,1.51,-16.12,1777347501284,-1830.0,2777856,2809181,0,drift
1777347504426,192.168.35.90:57842,-1.89,-5.20,1777347502293,-1830.0,2822016,2835805,0,drift
1777347504928,192.168.35.90:57842,-2.45,-45.25,1777347502749,-1829.9,2844000,2858077,0,drift
1777347505428,192.168.35.90:57842,-2.52,-41.29,1777347503253,-1829.9,2865984,2880093,0,drift
1777347506026,192.168.35.90:57842,0.13,-38.80,1777347503253,-1829.8,2865984,2906461,0,drift
1777347506527,192.168.35.90:57842,-2.96,-30.48,1777347504265,-1829.8,2910048,2928477,0,drift
1777347507028,192.168.35.90:57842,-4.46,-20.76,1777347504771,-1829.6,2932032,2950749,0,drift
1777347507627,192.168.35.90:57842,-2.59,-20.77,1777347505276,-1829.7,2954112,2976861,0,drift
1777347508127,192.168.35.90:57842,-2.39,-14.77,1777347505781,-1829.7,2976288,2999133,0,drift
1777347508629,192.168.35.90:57842,0.09,-13.13,1777347506286,-1829.7,2998272,3020893,0,drift
1777347509226,192.168.35.90:57842,-2.02,1.91,1777347507298,-1829.7,3042432,3047517,0,drift
1777347509727,192.168.35.90:57842,-2.58,-46.00,1777347507753,-1829.7,3064512,3069533,0,drift
1777347510324,192.168.35.90:57842,1.82,-37.80,1777347508257,-1829.7,3086592,3095901,0,drift
1777347510826,192.168.35.90:57842,0.27,-29.22,1777347508763,-1829.8,3108576,3118173,0,drift
1777347511328,192.168.35.90:57842,-2.03,-30.89,1777347509267,-1829.8,3130656,3140189,0,drift
1777347511924,192.168.35.90:57842,-0.44,-18.32,1777347509772,-1829.8,3152544,3166557,0,drift
1777347512426,192.168.35.90:57842,-2.50,-17.96,1777347510278,-1829.8,3174624,3188573,0,drift
1777347512927,192.168.35.90:57842,-1.92,-7.63,1777347510785,-1829.8,3196704,3210845,0,drift
1777347513429,192.168.35.90:57842,-3.64,-6.41,1777347511291,-1829.8,3218784,3232861,0,drift
1777347514026,192.168.35.90:57842,-1.80,3.28,1777347511796,-1829.8,3240768,3259229,0,drift
1777347514527,192.168.35.90:57842,-1.91,-45.17,1777347512251,-1829.8,3262848,3281245,0,drift
1777347515124,192.168.35.90:57842,-0.13,-36.30,1777347512755,-1829.8,3284832,3307613,0,drift
1777347515626,192.168.35.90:57842,-2.34,-29.48,1777347513261,-1829.9,3306912,3329885,0,drift
1777347516127,192.168.35.90:57842,-0.58,-28.72,1777347513765,-1829.9,3329088,3351901,0,drift
1777347516629,192.168.35.90:57842,2.01,-27.87,1777347514270,-1829.9,3351072,3373661,0,drift
1777347517226,192.168.35.90:57842,-3.75,-13.92,1777347515282,-1829.9,3395136,3400285,0,drift
1777347517727,192.168.35.90:57842,-1.51,-7.27,1777347515786,-1829.9,3417312,3422557,0,drift
1777347518229,192.168.35.90:57842,1.19,-5.97,1777347516291,-1829.9,3439296,3444317,0,drift
1777347518826,192.168.35.90:57842,-1.60,-2.05,1777347516291,-1829.9,3439296,3470941,0,drift
1777347519328,192.168.35.90:57842,-2.96,-46.59,1777347517252,-1829.9,3483456,3492957,0,drift
1777347519829,192.168.35.90:57842,2.24,-36.76,1777347517757,-1829.9,3505440,3514973,0,drift
1777347520426,192.168.35.90:57842,-2.44,-37.52,1777347518261,-1829.9,3527520,3541341,0,drift
1777347520927,192.168.35.90:57842,-1.57,-28.23,1777347518766,-1829.9,3549600,3563613,0,drift
1777347521429,192.168.35.90:57842,2.61,-27.41,1777347519272,-1829.9,3571680,3585373,0,drift
1777347522026,192.168.35.90:57842,-0.84,-18.16,1777347519776,-1829.9,3593664,3611997,0,drift
1777347522527,192.168.35.90:57842,-1.31,-15.39,1777347520281,-1829.9,3615648,3634013,0,drift
1777347523029,192.168.35.90:57842,2.16,-11.51,1777347520786,-1830.0,3637824,3656029,0,drift
1777347523626,192.168.35.90:57842,-1.30,-0.75,1777347521290,-1830.1,3659712,3682653,0,drift
1777347524127,192.168.35.90:57842,-1.77,0.55,1777347521795,-1830.1,3681792,3704669,0,drift
1777347524629,192.168.35.90:57842,-3.01,-49.60,1777347522249,-1830.2,3703872,3726685,0,drift
1777347525226,192.168.35.90:57842,-1.47,-40.97,1777347522755,-1830.2,3725952,3753053,0,drift
1777347525727,192.168.35.90:57842,-0.51,-25.73,1777347523767,-1830.3,3770112,3775325,0,drift
1777347526324,192.168.35.90:57842,1.74,-18.32,1777347524271,-1830.3,3792096,3801693,0,drift
1777347526827,192.168.35.90:57842,-0.30,-23.35,1777347524271,-1830.3,3792096,3823709,0,drift
1777347527327,192.168.35.90:57842,-2.57,-18.25,1777347525280,-1830.4,3836256,3845725,0,drift
1777347527925,192.168.35.90:57842,0.44,-5.54,1777347525786,-1830.4,3858144,3872093,0,drift
1777347528426,192.168.35.90:57842,0.66,-1.40,1777347526291,-1830.4,3880416,3894365,0,drift
1777347528927,192.168.35.90:57842,-0.14,3.69,1777347526796,-1830.5,3902304,3916381,0,drift
1777347529429,192.168.35.90:57842,1.70,-46.37,1777347527250,-1830.5,3924288,3938141,0,drift
1777347530026,192.168.35.90:57842,-2.22,-40.09,1777347527754,-1830.5,3946368,3964765,0,drift
1777347530527,192.168.35.90:57842,-3.39,-36.15,1777347528256,-1830.5,3968448,3987037,0,drift
1777347531028,192.168.35.90:57842,-2.56,-35.21,1777347528760,-1830.6,3990528,4009053,0,drift
1777347531626,192.168.35.90:57842,-0.30,-25.22,1777347529266,-1830.6,4012512,4035421,0,drift
1777347532127,192.168.35.90:57842,-1.26,-21.96,1777347529772,-1830.6,4034592,4057437,0,drift
1777347532629,192.168.35.90:57842,2.05,-17.84,1777347530276,-1830.7,4056672,4079453,0,drift
1777347533226,192.168.35.90:57842,-0.83,-14.73,1777347531282,-1830.7,4100832,4105821,0,drift
1777347533728,192.168.35.90:57842,-1.71,-6.15,1777347531789,-1830.7,4122912,4128093,0,drift
1777347534229,192.168.35.90:57842,1.57,-6.30,1777347532292,-1830.7,4144896,4149853,0,drift
1777347534826,192.168.35.90:57842,-1.13,4.18,1777347532799,-1830.6,4166976,4176477,0,drift
1777347535327,192.168.35.90:57842,-2.54,-43.15,1777347533254,-1830.6,4188960,4198493,0,drift
1777347535829,192.168.35.90:57842,1.11,-41.72,1777347533254,-1830.6,4188960,4220509,0,drift
1777347536426,192.168.35.90:57842,-1.30,-28.28,1777347534265,-1830.6,4233120,4247133,0,drift
1777347536927,192.168.35.90:57842,-1.56,-26.90,1777347534769,-1830.5,4255200,4269149,0,drift
1777347537524,192.168.35.90:57842,0.89,-17.09,1777347535275,-1830.5,4277184,4295517,0,drift
